Ad clicked Date,Ad Title/Id
2024/07/03 18:59:52 UTC,410109536
2026/03/14 12:23:08 UTC,953081556
2026/01/15 12:35:38 UTC,560790166
2024/11/06 17:02:48 UTC,520379424
2025/09/14 02:11:06 UTC,666267926
2024/09/22 23:37:04 UTC,145111864
2026/03/20 19:06:37 UTC,1231184714
2025/07/12 14:33:39 UTC,732064046
2026/03/20 19:05:13 UTC,1369332456
2024/07/27 01:03:53 UTC,145111864
2024/10/20 03:22:41 UTC,372183286
2025/06/22 15:43:12 UTC,427698984
2024/10/20 03:22:55 UTC,500426204
2026/03/18 23:17:57 UTC,1152785414
2026/01/17 00:29:20 UTC,985751496
2024/07/07 02:45:10 UTC,468107426
2026/01/14 03:16:51 UTC,1024288826
2025/11/29 18:54:04 UTC,855873494
2026/01/14 00:10:24 UTC,1019609436
2024/12/23 19:10:08 UTC,577788126
2026/01/14 00:11:25 UTC,427698984
2026/03/08 23:57:40 UTC,145111864
2026/01/14 00:12:11 UTC,427698984
2025/12/08 01:27:21 UTC,883483676
2026/01/13 18:50:18 UTC,916140693
2024/12/01 03:07:19 UTC,266862826
2026/01/13 18:50:40 UTC,916140693
2025/10/20 23:14:34 UTC,889526956
2026/01/13 18:51:51 UTC,1103392993
2025/10/24 10:53:16 UTC,266862826
2026/01/13 18:52:05 UTC,1103392993
2025/03/23 02:41:37 UTC,598708464
2025/09/22 12:04:31 UTC,427698984
2025/03/23 02:43:32 UTC,598004366
2025/10/30 03:23:49 UTC,892354616
2026/03/19 11:33:56 UTC,466280654
2024/12/31 19:36:00 UTC,427864244
2026/03/19 11:35:14 UTC,145111864
2025/08/15 02:14:57 UTC,744674133
2026/03/19 11:36:10 UTC,975651436
2025/06/20 20:10:30 UTC,732066016
2026/01/24 01:51:01 UTC,930429336
2025/11/12 13:48:27 UTC,857783933
2024/09/08 19:51:56 UTC,491577546
2024/11/10 03:39:08 UTC,494664916
2024/10/15 02:29:02 UTC,468135056
2025/11/17 02:59:11 UTC,427698984
2026/01/01 19:37:35 UTC,838250956
2025/06/28 11:06:45 UTC,713888613
2026/01/13 01:44:29 UTC,1020560306
2025/09/16 12:19:11 UTC,811245743
2024/08/23 01:59:53 UTC,145111864
2025/05/16 12:13:58 UTC,678160833
2025/09/19 11:24:58 UTC,841967993
2024/11/14 18:28:17 UTC,564266966
2025/01/03 04:25:22 UTC,362642664
2026/01/05 15:36:40 UTC,1073779254
2025/04/06 01:57:00 UTC,651917716
2024/10/30 13:23:51 UTC,500426684
2025/02/12 19:48:29 UTC,393991646
2025/01/26 22:46:55 UTC,427698984
2025/01/26 22:46:56 UTC,427698984
2025/11/13 13:12:33 UTC,953624516
2025/11/13 13:12:37 UTC,953624516
2026/02/22 00:03:08 UTC,1136702754
2026/02/22 00:03:50 UTC,1067588796
2025/11/14 00:26:46 UTC,935825926
2025/11/14 00:26:57 UTC,935825926
2025/01/23 11:35:50 UTC,614083256
2026/01/02 17:28:12 UTC,722353583
2026/01/02 17:28:11 UTC,722353583
2025/09/24 21:44:52 UTC,776901164
2025/09/25 02:34:00 UTC,748558886
2025/09/05 12:54:25 UTC,724977066
2025/09/05 10:28:45 UTC,811245743
2025/05/11 19:14:06 UTC,656744144
2025/05/11 19:14:08 UTC,656744144
