Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
AWS Certified Cloud Practitioner (CLF-C01) Cert Prep: 1 Cloud Concepts,"Amazon Web Services (AWS)—and cloud computing in general—can be difficult for people without technical backgrounds to decipher. This introductory course is a bridge between non-engineers and the cloud. It is the first in a four-part series designed to help professionals in non-technical roles, including finance teams, project managers, and marketers, make the best use of AWS. Instructor Hiroko Nishimura—founder of Intro to AWS for Newbies—provides a brief history of cloud computing, an overview of cloud deployment models, and a summary of cloud design principles. She then shows how to create an account and start using the AWS Free Tier to gain hands-on experience with AWS products and services. Plus, get exam tips and learn about resources for professionals studying for the AWS Certified Cloud Practitioner exam.<br/><br/>Note: This course also maps to the first domain of the AWS Certified Cloud Practitioner exam. Taking all four courses in the <i>Introduction to AWS for Non-Engineers</i> series will help you prepare for the exam.",Course,2022-10-05 15:24 UTC,N/A,false,N/A,
Microsoft 365 Administrator Expert (MS-102) Cert Prep by Microsoft Press,"<p>If you are a Microsoft 365 administrator who performs tenant-level implementation and administration of cloud and hybrid environments, earning the Microsoft 365 Administrator Expert (MS-102) certification can move your career forward. The Microsoft 365 Administrator Expert (MS-102) exam measures your ability to: deploy and manage a Microsoft 365 tenant; implement and manage identity and access in Azure AD; manage security and threats by using Microsoft 365 Defender; and manage compliance by using Microsoft Purview. This course helps you prepare for the exam.</p><p>This course was created by Microsoft Press. We are pleased to host this training in our library.</p>",Course,2025-06-30 00:02 UTC,N/A,false,N/A,
"Change Management Success: The People, Processes, and Communication","<p>All too often, change work is unsuccessful, but that’s not because of a lack of effort or vision. Rather, what’s most important is how you understand the effects of certain changes so you can address them as you go. In this course, join instructor Jamie Champagne and take a deep dive into change work, its benefits, key challenges, and how to avoid making business-critical mistakes that can derail your teams, stakeholders, and projects.</p><p>Get tips on identifying assumptions with your stakeholders and their attitudes towards your work. Jamie shows you how to properly define, articulate, and manage work processes that have a fundamental impact on your work, as well as develop and connect impactful approaches to ensure your success—before, during, and after the change work is complete. By the end of this course, you’ll be prepared to shift your perspective on the go to get additional buy-in and support for new ventures.</p>",Course,2026-04-25 10:36 UTC,2026-03-18 20:23 UTC,false,N/A,
Nano Tips for Negotiating Your Salary with Sho Dewan,"<p>Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, discover the secrets to navigating a successful salary negotiation, with key insights from Sho Dewan, the CEO and founder of Workhap and a LinkedIn Top Voice in Job Search and Careers.</p><p>Learn the essentials of talking about salary so you know what to say when it counts. Find out how to research salaries, work closely with recruiters, share your salary expectations, and consider your compensation package beyond just the numbers. Sho walks you through the three most important things to know before you even start the negotiation, with pointers on how to make a counteroffer that’s fair to you and competitive with the market. Along the way, Sho also tells what to say when you’re ready to ask for a raise.</p>",Course,2022-09-19 13:03 UTC,N/A,false,N/A,
"Advanced Go Programming: Data Structures, Code Architecture, and Testing","Looking to advance your skills in Go, the popular open-source programming language? Join instructor Adelina Simion in this hands-on, interactive, skills-first coding course designed uniquely for intermediate- to advanced-level Go developers. Discover practical tips and techniques used by expert programmers to boost your technical know-how or prepare for an interview to land a new role in your field. This course includes Code Challenges powered by CoderPad: interactive coding exercises with real-time feedback, so you can get hands-on coding practice to advance your coding skills. Adelina helps you develop your skills as a Go programmer with four specific, query-focused coding challenges. Practice using common data structures, streams, robust code, and dynamic programming.",Course,2024-05-09 23:15 UTC,N/A,false,N/A,
Nano Tips to Build Authority on LinkedIn with Shadé Zahrai & Jasmin Alić,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this course, Shadé Zahrai and Jasmin Alić show you how to create impactful LinkedIn content that delivers real value, builds engagement, and strengthens professional connections. Develop skills to format posts effectively, engage with comments, and subtly showcase their expertise without sounding overly promotional. Through storytelling, video strategies, and permission-based selling, learn how to enhance your LinkedIn presence and create content that resonates with your audience.",Course,2025-10-11 22:27 UTC,N/A,false,N/A,
Carter Beauford: Under the Table and Drumming,"Learn drumming from a world-class musician. Carter Beauford, world-famous drummer for the Dave Matthews Band, performs along with the rhythm tracks from six of the band's best songs, including ""Ants Marching"" and ""Satellite."" Carter covers such topics as left-hand lead and open-hand approaches, fills, double-bass drums, drum set and cymbal setup, time feel, background and influences, and more. He also discusses the early days of the Dave Matthews Band. These lessons are valuable for drummers of all levels, as well as any musician who plays or programs drums.<br><br>

This course was created by Alfred Music. We are pleased to offer this training in our library.",Course,2023-03-24 14:47 UTC,N/A,false,N/A,
Introduction to Model Context Protocol by Anthropic,"<h3>Description</h3>
<h4>What is this course about?</h4>
Building integrations between AI models and external services often requires writing extensive custom code. The Model Context Protocol (MCP) standardizes this process, allowing Claude to connect to tools, data sources, and APIs through a consistent interface. This course teaches you to build both MCP servers that expose tools, resources, and prompts, and MCP clients that consume them using the Python SDK. </p>

<p>Get started by exploring MCP's three core primitives—tools, resources, and prompts—and how they integrate with Claude AI. Along the way, learn how to build servers and clients, exploring how MCP simplifies connections to external systems. The course concludes with a hands-on project in which you implement a document management system using MCP. </p>

<p>Note: This course was created by Anthropic. We are pleased to host this training in our library.</p>

<h3>Instructor</h3>
<h4>Who teaches this course?</h4>
Anthropic is a public benefit corporation dedicated to securing its benefits and mitigating its risks. Anthropic is an AI safety and research company that builds reliable, interpretable, and steerable AI systems. </p>

<h3>Objectives</h3>
<h4>What will I be able to do by the end of this course?</h4>
<ul>
<li>Describe MCP architecture and how it shifts tool definition and execution burden from your server to specialized MCP servers.</li>
<li>Define MCP's transport-agnostic communication system and the message types used between clients and servers.</li>
<li>Outline the complete request-response flow from user queries through MCP clients to external services and back to Claude.</li>
<li>Build MCP servers using the Python SDK with decorators to define tools instead of writing JSON schemas manually.</li>
<li>Implement document management functionality with tools for reading and editing documents using field descriptions and type hints.</li>
<li>Use the built-in MCP Inspector to test and debug your server functionality in a browser-based interface.</li>
<li>Define resources for exposing read-only data, including both direct resources with static URIs and templated resources with parameters.</li>
<li>Implement resource reading functionality in clients with proper MIME type handling for JSON and text content.</li>
<li>Build prompts that provide pre-crafted, high-quality instructions for common workflows like document formatting.</li>
<li>Explain when to use each MCP primitive: tools (model controlled), resources (app controlled), and prompts (user controlled).</li>
<li>Examine practical integration patterns including autocomplete functionality and context injection for AI conversations.</li>
</ul></p>

<h3>Audience</h3>
<h4>Who is this course for?</h4>
<ul>
<li>Developers looking to create MCP servers</li>
<li>Engineers who want to integrate Claude with external tools and services without writing extensive integration code</li>
<li>Software developers with an interest in AI model integration</li>
<li>Technology enthusiasts aiming to optimize connection processes between AI services and external data sources</li>
</ul></p>

<h3>Prerequisites</h3>
<h4>What do I need to know before taking this course?</h4>
<ul>
<li>Basic Python programming experience</li>
<li>Basic familiarity with APIs</li>
<li>Basic familiarity with async and await patterns</li>
</ul>",Course,2026-05-19 02:33 UTC,N/A,false,N/A,
Everyday AI Concepts,"From chatbots to predictive analytics, artificial intelligence is transforming the world of work. This course is designed to help you understand key AI concepts and discover how artificial intelligence can benefit your team, organization, products, and services. Instructor Doug Rose breaks down machine learning, predictive AI and generative AI, detailing what they can do and how you can get the most out of them. He also takes a look at legal and ethical issues: Who owns what the machine learned? Can you teach the system values? And more.",Course,2025-07-09 14:17 UTC,N/A,false,N/A,
Microsoft Planner Essential Training,"Learn how to stay organized and manage projects with Microsoft Planner. In this course, learning and development expert David Rivers guides you through all the ways Planner can simplify and enhance your workflows, from creating new plans and setting due dates to updating a project's status and sharing files with team members. Get a tour of the Planner user interface. Find out how to add and assign tasks, sort tasks into buckets, and attach files to tasks. Go over flagging tasks with labels and updating a task’s progress. Discover how to view progress and use charts to track progress. Plus, explore a variety of ways you can use Planner in Teams. Learn how to work more efficiently and stay focused on what's important by using Microsoft Planner for your next project.",Course,2025-03-10 02:16 UTC,N/A,true,N/A,
Change Management in Lean Six Sigma Projects,"When your Lean Six Sigma projects require changes, it’s easy to get bogged down in office politics and resistance to change. Good change management is essential. In this course, instructor Vincent Mirabelli guides you through building a case for change and overcoming resistance to the needed changes. Find out why change is so important in Lean Six Sigma, then learn how to build a case for change by building a governance support structure, building a desire for change, gaining support for change, and engaging staff to lead the work. Explore ways to manage resistance through defining the needs and requirements, navigating the change curve, building a change coalition, and communicating change. As with so many other things, practice makes perfect with change management! Plus, go over Vincent’s practical advice on closing gaps in your current approach to deploy projects with greater success.",Course,2023-03-01 17:03 UTC,N/A,false,N/A,
"RAG, AI Apps, and AI Agents for Cybersecurity and Networking","<p>This four-hour course shows you how to harness the power of Large Language Models (LLMs) for both offensive and defensive cybersecurity operations, as well as networking implementations. Gain the practical skills that are reshaping today’s cybersecurity and networking landscape. Learn fundamental RAG concepts and progressively build toward sophisticated agent-based implementations using industry-standard frameworks like LangChain, AutoGen, and LangGraph. </p>

<p>This course goes beyond theoretical concepts, offering hands-on experience with real-world step-by-step AI coding examples. Whether you're a red team operator looking to develop more sophisticated attacks, a blue team analyst seeking to bolster defenses, a security researcher exploring the frontiers of AI in cybersecurity, or a networking professional in need of AI knowledge, this course provides the core basics and skills needed to stay ahead in today’s environments. </p>

<p>This course was created by Pearson. We are pleased to host this training in our library.</p>",Course,2026-01-24 01:50 UTC,N/A,false,N/A,
Azure Infrastructure as Code with GitHub,"Are you an Azure architect or administrator who works with infrastructure as code? Do you wonder what you can do to run a more efficient and cleaner environment? In this course, instructor Barbara Forbes explains what GitHub can do for you. Barbara gives guidance for storing your code in Git and explains how to work with GitHub actions: logging into Azure, testing, and building and deploying templates. She explains the skills you need to create a production process that works seamlessly, tests automatically, and provides an auditing trail. Join Barbara in this course to learn how you can start using GitHub actions to deploy your code directly to Azure.",Course,2022-11-07 01:30 UTC,N/A,false,N/A,
BIM: Designing Sustainable HVAC Systems with Revit,"<p>Humans spend most of their lives in spaces within facilities, and this makes designing sustainable spaces with optimal heating, ventilation, and air-conditioning (HVAC) more critical than ever. Mechanical systems account for the highest cost in most facilities—and they consume the most energy. To enhance the sustainability of new facilities, designers must adopt a lean and agile approach to designing the heating, ventilation, and air conditioning HVAC systems.</p><p>
 
This course with instructor Onyema Udeze focuses on HVAC design and analysis in Revit from the conceptual design (CD) stage to the detailed design (DD) stage. He takes you from the start of a typical HVAC project through a systems analysis workflow. He then goes in depth into creating mechanical equipment and the essential components of HVAC systems. Plus, learn about mechanical modeling and advanced HVAC analysis in Revit.",Course,2025-08-15 02:14 UTC,N/A,false,N/A,
