Date,Type,Link
2026-04-28 16:17:53,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7447444844941058048
2026-04-26 15:14:36,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7454153501372469248
2026-04-25 15:16:31,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7453751905098530816
2026-04-25 03:21:07,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7452746373180968960
2026-04-24 02:31:00,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7452815387684978688
2026-04-23 23:17:17,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7452712083302801408
2026-04-23 23:15:46,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7453057640508723200
2026-04-23 23:14:57,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7453086120063504384
2026-04-21 23:31:09,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7452375788424851456
2026-04-21 17:52:27,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7452370620182466561?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7452370620182466561%2C7452411778782900224%29
2026-04-21 16:11:21,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7452358691124576256
2026-04-20 19:35:27,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7452063825001963521
2026-04-20 12:08:43,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7450369995382976512
2026-04-18 19:48:06,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7450987395660910592
2026-04-18 12:07:23,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7450874259733708800
2026-04-17 18:13:49,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7450918186889441280
2026-04-17 00:18:28,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7450614020107313153
2026-04-16 12:25:10,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7450456318022373376
2026-04-16 02:01:33,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7450248541933043714
2026-04-15 19:45:28,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7450224108644089856
2026-04-14 16:33:26,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7449815322649436160
2026-04-14 01:33:45,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7449287580875087874
2026-04-13 23:32:13,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7449537512521379840
2026-04-13 16:53:23,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7449453253102059522
2026-04-13 02:37:28,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7439286836549603328
2026-04-12 23:35:47,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7449236578155069440
